Understat_ID, FPL_ID, Understat_Name, FPL_Name
-1,192,,Zeze Steven Sessegnon
-1,707,,Sylvester Jasper
-1,220,,Adrien Silva
-1,222,,Matty James
-1,223,,Danny Ward
-1,226,,Ricardo Domingos Barbosa Pereira
-1,237,,Filip Benkovic
-1,238,,Çaglar Söyüncü
-1,660,,Vontae Daley-Campbell
-1,684,,Shane Flynn
-1,687,,Thanawat Suengchitthawon
-1,703,,Tawanda Maswanhise
-1,193,,Pablo Hernández Domínguez
-1,194,,Francisco Casilla Cortés
-1,196,,Barry Douglas
-1,199,,Adam Forshaw
-1,205,,Hélder Wander Sousa de Azevedo e Costa
-1,207,,Jay-Roy Grot
-1,208,,Kamil Miazek
-1,209,,Ian Carlo Poveda-Ocampo
-1,212,,Jordan Stevens
-1,215,,Oliver Casey
-1,492,,Rodrigo Moreno
-1,532,,Elia Caprile
-1,533,,Mateusz Bogusz
-1,570,,Raphael Dias Belloli
-1,599,,Jack Jenkins
-1,620,,Charlie Cresswell
-1,667,,Joe Gelhardt
-1,692,,Sam Greenwood
-1,693,,Crysencio Summerville
-1,694,,Cody Drameh
-1,245,,Adrián San Miguel del Castillo
-1,252,,Alisson Ramses Becker
-1,253,,Fabio Henrique Tavares
-1,257,,Harry Wilson
-1,265,,Harvey Elliott
-1,531,,Thiago Alcántara do Nascimento
-1,601,,Leighton Clarkson
-1,607,,Jake Cain
-1,677,,Liam Hughes
-1,678,,Jakub Ojrzynski
-1,696,,Ben Woodburn
-1,697,,Billy Koumetio
-1,266,,Fernando Luiz Rosa
-1,267,,Claudio Bravo
-1,269,,Nicolás Otamendi
-1,277,,João Pedro Cavaco Cancelo
-1,278,,Ederson Santana de Moraes
-1,281,,Bernardo Mota Veiga de Carvalho e Silva
-1,282,,Gabriel Fernando de Jesus
-1,285,,Tommy Doyle
-1,286,,Rodrigo Hernandez
-1,287,,Ferran Torres
-1,537,,Adrián Bernabé
-1,552,,Cole Palmer
-1,556,,Rúben Santos Gato Alves Dias
-1,595,,James Trafford
-1,609,,Felix Nmecha
-1,622,,Luke Mbete
-1,623,,Taylor Harwood-Bellis
-1,659,,Claudio Gomes
-1,289,,Sergio Romero
-1,292,,Chris Smalling
-1,294,,Marcos Rojo
-1,297,,Phil Jones
-1,299,,Frederico Rodrigues de Paula Santos
-1,302,,Bruno Miguel Borges Fernandes
-1,304,,Andreas Pereira
-1,314,,José Diogo Dalot Teixeira
-1,316,,Tahith Chong
-1,317,,James Garner
-1,319,,Teden Mengi
-1,568,,Alex Nicolao Telles
-1,575,,Facundo Pellistri
-1,604,,Lee Grant
-1,640,,Amad Diallo
-1,686,,Nathan Bishop
-1,20,,Joseph Willock
-1,327,,Florian Lejeune
-1,330,,Christian Atsu
-1,337,,Rolando Aarons
-1,340,,Joelinton Cássio Apolinário de Lira
-1,341,,Yoshinori Muto
-1,342,,Kelland Watts
-1,488,,Mark Gillespie
-1,606,,Daniel Langley
-1,348,,Simon Moore
-1,350,,Wes Foderingham
-1,354,,Jack O'Connell
-1,477,,Luke Freeman
-1,580,,Michael Verrips
-1,646,,Kyron Gordon
-1,657,,Zak Brunt
-1,670,,Frankie Maguire
-1,704,,Harry Boyes
-1,711,,William Osula
-1,364,,Oriol Romeu Vidal
-1,371,,Angus Gunn
-1,372,,Sofiane Boufal
-1,374,,Josh Sims
-1,590,,Daniel N'Lundulu
-1,624,,Kgaogelo Chauke
-1,625,,Harry Lewis
-1,634,,Will Ferry
-1,655,,Ryan Finnigan
-1,384,,Danny Rose
-1,390,,Heung-Min Son
-1,392,,Lucas Rodrigues Moura da Silva
-1,393,,Paulo Gazzaniga
-1,394,,Bamidele Alli
-1,399,,Ryan Sessegnon
-1,401,,Gedson Carvalho Fernandes
-1,404,,Oliver Skipp
-1,405,,Tanguy Ndombele
-1,406,,Juan Foyth
-1,482,,Joe Hart
-1,521,,Cameron Carter-Vickers
-1,564,,Carlos Vinicius Alves Morais
-1,650,,Alfie Devine
-1,710,,Nile John
-1,414,,Ahmed El-Sayed Hegazy
-1,416,,Kenneth Zohore
-1,419,,Oluwasemilogo Adesewo Ibidapo Ajayi
-1,420,,Jonathan Leko
-1,425,,Dara O'Shea
-1,499,,Cedric Kipre
-1,621,,Cheikh Diaby
-1,639,,Andy Lonergan
-1,700,,Caleb Taylor
-1,701,,Taylor Gardner-Hickman
-1,706,,Toby King
-1,709,,Tim Iroegbunam
-1,429,,David Martin
-1,433,,Roberto Jimenez Gago
-1,434,,Jack Wilshere
-1,440,,Felipe Anderson Pereira Gomes
-1,444,,Jordan Hugill
-1,447,,Albian Ajeti
-1,587,,Saïd Benrahma
-1,637,,Frederik Alves
-1,638,,Ademipo Odubeko
-1,668,,Conor Coventry
-1,669,,Jamal Baptiste
-1,674,,Nathan Trott
-1,454,,João Filipe Iria Santos Moutinho
-1,455,,Rui Pedro dos Santos Patrício
-1,456,,Ryan Bennett
-1,461,,Romain Saïss
-1,462,,Jonathan Castro Otto
-1,463,,Léo Bonatini
-1,466,,Rúben Diogo da Silva Neves
-1,469,,Daniel Castelo Podence
-1,471,,Rúben Gonçalo Silva Nascimento Vinagre
-1,472,,Matija Sarkic
