id,isResult,datetime,h_id,h_title,h_short_title,a_id,a_title,a_short_title,goals_h,goals_a,xG_h,xG_a,forecast_w,forecast_d,forecast_l,match_id,xCS_h,xCS_a
3112,True,04/12/2016 17:30,73,Bournemouth,BOU,87,Liverpool,LIV,4,3,2.54396,1.26532,0.7478,0.1757,0.0765,3112,0.214683172,0.00239728
3113,True,04/12/2016 20:00,72,Everton,EVE,89,Manchester United,MUN,1,1,1.64985,0.541299,0.7165,0.2068,0.0767,3113,0.569677848,0.080186154
3114,True,06/12/2016 00:00,93,Middlesbrough,MID,91,Hull,HUL,1,0,1.94961,0.221339,0.8458,0.1311,0.0231,3114,0.795201654,0.090836507
3115,True,10/12/2016 16:30,90,Watford,WAT,72,Everton,EVE,3,2,1.49271,1.09675,0.4719,0.2758,0.2523,3115,0.282407277,0.161784652
3116,True,10/12/2016 19:00,91,Hull,HUL,78,Crystal Palace,CRY,3,3,2.16649,1.50059,0.541,0.252,0.207,3116,0.108664505,0.046167104
3117,True,10/12/2016 19:00,84,Swansea,SWA,77,Sunderland,SUN,3,0,2.18185,0.672058,0.7859,0.1515,0.0626,3117,0.495832214,0.04287451
3118,True,10/12/2016 19:00,83,Arsenal,ARS,85,Stoke,STO,3,1,1.58027,1.29401,0.4175,0.2872,0.2953,3118,0.136410177,0.185053676
3119,True,10/12/2016 19:00,92,Burnley,BUR,73,Bournemouth,BOU,3,2,2.15178,1.00194,0.6902,0.2061,0.1037,3119,0.335319916,0.01422601
3120,True,10/12/2016 21:30,75,Leicester,LEI,88,Manchester City,MCI,4,2,2.60583,0.970372,0.7932,0.1331,0.0737,3120,0.363412465,0.020170339
3121,True,11/12/2016 16:00,80,Chelsea,CHE,76,West Bromwich Albion,WBA,1,0,0.551109,0.212574,0.3746,0.5095,0.1159,3121,0.804925454,0.563835635
3122,True,11/12/2016 18:15,89,Manchester United,MUN,82,Tottenham,TOT,1,0,1.04894,0.720341,0.4325,0.3292,0.2383,3122,0.433593587,0.316590982
3123,True,11/12/2016 18:15,74,Southampton,SOU,93,Middlesbrough,MID,1,0,1.72919,0.493941,0.7461,0.2074,0.0465,3123,0.567552186,0.060858509
3124,True,11/12/2016 20:30,87,Liverpool,LIV,81,West Ham,WHU,2,2,1.79134,0.64998,0.6722,0.2263,0.1015,3124,0.468379057,0.120312917
3125,True,13/12/2016 23:45,73,Bournemouth,BOU,75,Leicester,LEI,1,0,0.64118,1.6751,0.0985,0.2309,0.6706,3125,0.102265692,0.474047141
3126,True,13/12/2016 23:45,72,Everton,EVE,83,Arsenal,ARS,2,1,1.46034,1.3508,0.3772,0.2955,0.3273,3126,0.132246578,0.190207606
3127,True,14/12/2016 23:45,93,Middlesbrough,MID,87,Liverpool,LIV,0,3,0.161583,2.13526,0.0123,0.0908,0.8969,3127,0.065716316,0.849063591
